"April","August","December","February","January","July","June","March","May","November","October","September","April.1","August.1","December.1","February.1","January.1","July.1","June.1","March.1","May.1","November.1","October.1","September.1","April.2","August.2","December.2","February.2","January.2","July.2","June.2","March.2","May.2","November.2","October.2","September.2"
1418,1497,1415,1211,1596,1630,1440,1342,1505,1389,1555,1442,876,869,817,780,963,981,948,840,919,802,906,854,108,113,89,98,117,113,100,81,106,88,93,87
13,25,13,17,15,20,14,11,14,17,6,33,10,14,10,7,13,12,9,7,11,11,4,15,3,9,3,6,2,7,4,2,2,4,2,2
6,14,13,8,7,17,13,10,9,14,22,20,3,3,7,5,5,4,5,7,3,8,11,7,0,0,0,0,0,0,0,0,0,0,1,2
21,21,14,12,29,15,23,18,11,9,16,25,17,20,13,9,26,13,20,16,10,7,13,25,1,0,1,2,1,2,1,2,1,2,0,0
4,0,3,1,2,0,10,2,4,1,0,4,3,0,3,1,2,0,6,2,0,1,0,2,1,0,0,0,0,0,2,0,4,0,0,1
7,8,8,12,13,24,10,11,13,11,10,9,4,7,8,11,13,22,7,10,11,10,10,9,3,0,0,1,0,1,1,1,2,1,0,0
10,11,9,10,12,14,9,9,10,10,7,20,6,8,6,7,5,10,7,8,6,7,3,14,1,2,1,3,1,1,2,1,1,0,1,1
4,5,5,7,5,8,18,10,4,6,9,9,4,2,3,7,2,5,12,7,4,4,8,7,0,0,0,0,1,1,2,2,0,0,0,0
1,1,1,1,1,4,5,6,1,2,5,4,1,1,1,1,1,4,3,6,1,2,4,4,0,0,0,0,0,0,1,0,0,0,1,0
3,0,1,1,1,2,1,3,1,1,3,1,3,0,1,1,0,2,1,2,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
453,540,566,412,535,560,452,438,521,503,579,521,222,214,230,178,240,261,220,203,237,201,259,222,20,30,18,18,25,21,15,15,30,17,15,20
32,37,37,50,54,47,47,43,38,19,34,26,30,34,33,48,52,44,44,43,38,17,33,25,2,0,2,1,1,3,3,0,0,2,1,0
37,28,37,37,44,38,32,31,53,30,34,31,32,25,32,28,39,31,24,26,44,22,26,28,5,1,3,7,3,6,7,4,5,8,6,2
0,0,1,0,2,1,0,3,2,0,0,1,0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48,30,22,10,48,44,15,25,41,28,32,31,18,11,11,4,10,14,10,3,12,14,8,7,0,0,0,1,2,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,2,4,2,2,1,0,1,0,1,1,0,2,2,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,33,31,21,36,35,24,34,44,24,32,30,11,8,6,7,7,6,6,6,8,5,7,9,0,0,0,0,0,0,0,2,0,0,1,0
3,3,2,1,3,0,2,1,2,0,1,2,2,2,1,1,2,0,1,1,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0
12,19,12,13,19,11,13,14,8,18,9,16,11,19,11,12,16,11,10,12,6,16,9,12,0,0,1,1,3,0,1,2,2,2,0,4
5,8,1,0,1,4,1,1,5,1,3,1,4,7,0,0,1,3,1,1,4,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0
44,44,38,44,64,47,59,53,52,45,54,50,23,26,24,30,50,33,37,36,31,21,36,34,2,9,3,0,2,1,3,1,2,2,2,0
166,206,197,163,225,229,196,187,223,193,215,189,95,120,132,122,141,149,139,117,150,113,125,124,24,20,21,19,32,23,16,18,18,18,26,19
305,290,225,238,242,289,301,264,270,282,283,254,228,235,176,192,185,220,244,207,220,228,220,199,35,35,23,29,32,35,30,22,24,25,27,31
10,7,7,10,7,8,6,10,8,5,6,7,10,7,6,10,7,8,6,10,8,4,5,6,0,0,1,0,0,0,0,0,0,0,1,1
131,106,120,82,148,134,131,105,112,107,129,108,88,61,65,51,90,77,94,66,73,61,73,67,6,5,7,4,6,10,8,5,11,5,6,4
1,0,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,2,0,2,2,2,1,0,4,0,0,1,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,2,1,1,1,2,0,3,1,0,2,4,1,2,1,0,1,2,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
51,58,50,55,79,70,52,48,53,58,61,47,42,42,35,42,51,42,36,38,33,44,41,31,3,1,4,6,3,2,4,1,2,2,3,0
0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
