"April","August","December","February","January","July","June","March","May","November","October","September","April.1","August.1","December.1","February.1","January.1","July.1","June.1","March.1","May.1","November.1","October.1","September.1","April.2","August.2","December.2","February.2","January.2","July.2","June.2","March.2","May.2","November.2","October.2","September.2"
1376,1556,1536,1289,1578,1579,1542,1519,1444,1429,1516,1466,865,942,868,815,1000,978,933,965,887,857,944,900,90,112,110,89,124,111,100,102,124,79,92,89
6,13,3,2,5,5,9,5,6,4,12,9,3,5,2,1,2,3,8,1,3,1,8,4,3,8,1,1,2,1,1,4,3,3,2,5
6,8,17,8,8,14,12,8,30,15,21,6,2,2,3,1,3,3,4,0,6,2,4,0,0,0,0,0,1,0,0,0,2,0,0,0
26,25,33,24,30,27,24,36,17,21,22,26,24,25,27,22,26,21,23,32,14,15,20,23,2,0,2,2,3,3,1,3,3,2,1,0
25,1,5,5,14,3,8,6,6,4,12,3,10,0,3,5,6,0,4,4,0,4,5,1,0,0,0,0,1,1,0,1,4,0,0,0
19,28,19,25,32,17,19,17,23,30,29,19,18,25,19,23,30,13,18,17,18,27,27,16,0,2,0,1,2,3,0,0,5,0,1,0
14,8,14,18,14,14,11,15,15,10,10,16,10,6,10,11,12,11,9,12,12,4,7,13,1,2,0,0,0,0,0,1,0,1,0,2
8,13,6,5,6,16,7,10,8,7,8,7,6,10,3,3,5,9,4,6,4,4,6,6,0,0,0,0,0,2,0,0,0,0,0,0
0,2,3,5,3,2,2,2,1,2,1,1,0,2,1,2,1,1,0,2,1,1,0,0,0,0,1,3,2,1,2,0,0,1,1,1
5,2,4,5,8,8,5,4,3,2,5,2,4,2,4,5,8,8,5,3,3,2,4,1,1,0,0,0,0,0,0,1,0,0,1,1
430,521,556,429,509,553,546,510,462,507,510,497,175,183,186,169,190,213,176,197,182,194,207,189,16,18,21,15,23,15,19,21,20,15,13,13
29,32,31,31,40,28,35,32,27,28,22,31,19,24,24,27,29,20,26,23,21,20,17,28,1,0,1,0,1,1,0,1,2,0,1,0
30,22,28,17,31,26,22,20,19,19,26,20,27,17,26,14,27,24,17,16,15,15,22,17,2,3,1,1,3,1,5,3,4,1,2,2
0,2,2,0,4,0,8,2,0,0,1,0,0,2,2,0,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,6,1,7,7,7,5,19,9,12,9,3,6,3,1,7,3,5,3,6,7,10,6,0,0,2,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,4,0,4,1,1,0,2,2,1,0,3,0,4,0,4,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
70,79,57,43,53,83,45,77,62,54,84,79,39,38,30,32,36,49,25,41,39,28,41,36,0,2,0,0,0,0,0,2,0,1,2,0
1,2,2,0,2,1,1,1,3,1,2,0,1,1,1,0,2,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,6,13,16,24,21,13,15,14,12,13,11,17,5,11,16,18,20,12,13,8,12,9,10,1,0,2,0,6,1,1,2,5,0,2,1
2,1,2,1,2,1,0,1,3,2,3,0,2,0,2,1,2,1,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
71,72,72,57,83,66,62,76,53,57,65,68,39,47,51,43,60,49,40,56,37,31,41,43,0,2,0,2,1,1,0,1,3,0,0,2
106,106,136,112,130,134,131,134,118,127,116,112,73,80,85,82,96,104,92,103,80,96,87,84,21,14,34,18,22,20,25,25,21,18,20,17
340,419,350,335,361,375,412,380,398,365,362,378,274,331,271,273,277,299,344,324,323,287,282,310,35,52,39,38,52,45,39,28,44,31,41,40
8,13,8,9,11,5,7,8,9,7,12,5,7,12,8,7,10,3,7,7,9,7,12,5,1,1,0,2,1,1,0,1,0,0,0,0
22,30,25,21,26,33,31,17,25,22,32,30,14,21,9,6,17,19,21,8,21,14,25,17,1,2,4,2,3,8,5,1,2,2,3,3
3,1,1,1,3,2,4,3,0,0,4,1,2,1,1,0,2,2,2,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8,4,2,7,5,9,4,7,2,7,5,7,5,2,1,6,5,7,3,5,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0
125,130,135,112,163,129,111,126,113,118,119,128,88,88,81,66,123,93,74,88,72,80,90,85,5,6,1,4,1,6,2,3,6,3,2,1
0,0,0,1,1,0,0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,3,0,0,0,0,1,2,1,1,0,0,0,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
