"April","August","December","February","January","July","June","March","May","November","October","September","April.1","August.1","December.1","February.1","January.1","July.1","June.1","March.1","May.1","November.1","October.1","September.1","April.2","August.2","December.2","February.2","January.2","July.2","June.2","March.2","May.2","November.2","October.2","September.2"
1432,1668,1485,1558,1550,1672,1578,1596,1638,1477,1609,1520,893,1074,908,973,1026,1020,1004,963,1066,838,999,964,148,140,136,133,145,173,157,158,157,141,128,129
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,10,9,10,17,14,7,11,10,8,3,0,1,10,5,7,9,7,4,8,6,4,5,3,1,0,4,2,8,6,3,3,4,4
11,19,20,24,15,17,13,16,15,19,14,19,3,1,3,5,4,5,2,5,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
36,33,47,37,43,44,41,47,27,41,40,35,33,27,40,30,38,39,35,40,24,34,38,29,2,4,3,7,5,2,6,5,3,4,1,3
18,16,11,12,6,9,17,18,12,13,14,13,12,4,6,7,1,5,8,7,7,4,7,7,2,3,3,0,0,0,1,4,0,4,2,0
40,47,40,46,36,39,29,44,44,45,29,49,35,40,36,39,33,34,23,37,40,36,24,47,4,4,3,4,1,5,5,4,4,4,2,0
8,7,8,11,5,6,13,12,18,8,8,10,6,4,5,6,5,5,12,10,16,7,6,8,0,1,0,3,0,0,0,0,1,0,2,1
16,26,13,22,25,15,23,20,16,14,15,20,6,15,6,10,9,7,14,15,10,7,12,10,3,3,0,1,2,3,2,1,2,0,0,2
3,3,4,1,1,0,3,3,0,2,0,3,2,1,2,0,1,0,2,1,0,1,0,3,1,2,2,1,0,0,1,2,0,1,0,0
1,3,5,3,4,4,8,1,0,3,2,0,1,3,5,3,4,2,7,1,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0
319,395,310,400,353,430,361,408,369,386,393,349,99,133,99,114,133,134,121,114,127,98,112,103,12,13,8,11,11,17,11,14,11,12,10,8
28,24,35,29,29,20,28,24,28,19,19,17,27,20,29,26,26,17,22,19,25,14,16,15,1,0,2,0,0,2,0,2,1,2,1,0
12,19,17,20,27,28,19,26,17,17,20,24,9,14,13,18,20,18,16,19,13,15,14,19,3,3,3,1,4,7,3,6,2,2,3,3
1,0,1,5,1,3,1,2,3,0,1,5,1,0,1,5,1,1,1,1,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
3,8,6,0,2,4,0,2,4,1,3,3,3,4,2,0,1,2,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,2,2,2,2,0,3,0,0,5,3,3,1,2,2,0,2,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
24,30,27,20,23,31,27,29,28,35,21,22,14,12,9,14,16,10,11,21,15,15,13,11,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,2,2,3,1,2,2,1,0,1,2,1,0,2,2,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,26,25,29,24,24,31,38,40,21,40,31,32,22,20,24,23,22,30,34,33,17,34,26,2,4,5,4,1,2,1,4,6,4,4,5
3,5,2,4,0,1,4,1,3,3,1,3,2,3,1,2,0,0,1,0,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0
66,62,84,57,74,87,52,71,78,73,103,78,33,40,42,34,44,51,38,35,49,37,50,40,0,0,3,1,1,0,1,0,1,0,0,0
157,199,209,165,185,183,159,158,141,167,219,190,118,159,157,131,134,142,123,114,111,118,160,146,29,25,24,23,37,27,20,32,23,25,29,27
468,540,405,467,468,511,552,447,588,417,458,445,340,432,307,374,382,388,415,347,460,293,366,351,79,69,73,66,65,87,90,66,92,77,62,68
9,10,8,5,10,11,8,9,5,15,5,13,9,10,7,4,9,9,8,8,5,15,5,13,0,0,1,0,1,2,0,1,0,0,0,0
12,16,21,13,21,28,13,30,19,16,27,25,9,13,15,10,15,17,10,18,9,14,19,22,0,2,2,1,4,7,1,6,4,1,3,1
3,4,1,3,0,2,4,2,6,2,3,2,2,4,1,2,0,0,3,1,5,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0
1,2,1,1,1,2,2,3,1,5,0,3,1,1,1,0,1,2,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
15,17,14,15,23,24,20,22,13,10,17,15,10,11,9,7,17,13,7,13,8,7,12,10,0,0,0,1,1,1,1,2,0,0,0,1
120,146,159,151,159,129,124,145,150,127,140,126,71,95,84,92,99,83,79,89,90,83,87,73,5,4,2,9,8,6,5,3,3,2,5,4
7,4,2,3,1,3,4,2,1,3,1,5,6,2,0,1,0,3,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,1,1,1,0,0,0,3,5,1,1,0,6,1,1,1,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
